,puuid
44,rQA1yo2r97wHmlZs4-kE8oGJnSVZmNRgLHZUTFt8qDRiY2s5cfc6Whrs9ln2TmQ1AZ7DaCjbFBleVA
45,Y56AL3VsmtUveAgiHZd4vr6tIXhOtr3_t-XzSdjtUs7YGeXLGTJDxAg8suFzkXg34koHcpBLRVbPqA
46,wYHQthvwisG4vj0Aev8ntnffbsSJYG-FwYQcobj7hgzjGO5qEYpJ9jE4QkWtQ4NSm9hhLO6XRI2ePg
47,od54NXc0KAaDUfB5L9kID98EoP_52ycAGSXGisKRoohUg2-ExQ327L44BkDDTsxV4rbCibWO6yJXhA
48,b6FbC09OkHeFStR1_KMaoSlNJtf0_A2o9mPUqv_bmRdIkpBmDbQuDUYynimAGo9z-9rrj07THQBaeQ
49,uGs3vGCo1PMH7rH96d4F8xdO-dcBPDNIB0vm-kvwwh7JMWKEyDFak-ztFfVNxsNJA-87Fi25s5FPxg
50,UMQErKZPxW7niL_gAVum78PFZ6lJTBDhI07UOTjRN6F58wE10DYB64Z3APKv-v7xz6hLOv1wzUBVhQ
51,0nXFcW93yiIlplHYX1FpRNGdYApZgDUWWDP7PWtBNFVMu38-fAUHJfIq90zOiaeIFppVkeTbl2tlGg
52,z2W3PQ5EU3i3D4iwin4vdcd8SSet0CKyBvBtDjSDGXmasUKx76lg96Ff1zsGzplGtD7n5JBmCSKXHA
53,feNvjo92XgtdQ0CPf7oxfaiXFWdHK5dhv5dwQ66Vpnx_QlgJVm9gs_27A4boZGTOQgxnw_KKbz4ZkQ
54,RsrJh9C4tbKTioBQ1TvtT05MWS_esIxcaGO2hSFs5K2GvVvKhsN1hrhKkPxLYNhYkoL_rYs6mTJUUg
55,CU6ijGq1sWCNogPZFTTBQ99SFAWy1cHyfrACGRBkn8cpv5lfCwHN7nn1zQRsPW0mxI3qzUqohSCFAg
56,8fBipfZ-SThbPyg6rM9vqVPGxqJ9_mUFmWGpcYryTZcdszXYO3b5sP_vCvaGZEuCaYeToSX-SK-onA
57,ftKf_R71zct3vLr9HDEN6Os9xwIEYtCcF43RtGFVRrGDBsuyYha3CaZZB1dD7nq_Db4jr6VHx86m6A
58,v7aFRA1SSc3PmGdN_BNHxyYo0RM4xQ7CJ43Rd0S1HCUViiA7n52yC9z8Xgp7XH-vyFEzXJ9jpI8rpg
59,3t8gxO9ZFOyeJI42N3dheOGhnqN83RD2v_P-bhza1jk_yIwwFyvS7cU7RcvBCmVK6AH6kF98WYRnUw
60,FJiIfE3FC7cEOlaP34RRdwpky2OcpeaKQhUDkt84oI0InaOYe3xsxpTlJqrNEHu2_PsPDdIf0PCjDQ
61,7uWEOdXIcJw9sPk8aFflECbGy_haKX67_ON8zuCahtsOx1_Vyp5TpV46_9y84YVdUqyta08rQJMq8Q
62,-LMjM_zfUBquV_Q89l99cl8gCHD03uZbWecJCXkriaFtrbNwA-ye_PCbhB_J8u30QDKwz1OXExjA4Q
63,oK3qn8FoJwLf2p7wmG9QNfwvLVc3iEWM8TP9ZBNwnAN7qk8dUR7SIWVPcUxn-ck33ORNXX9xpvf0rQ
64,lEp8IZzBbGGIoFPw56mFJ2nx1gMKfhZWoJoQY8I8iV37XMSWreouVFlNso8sCKt-6RpkiyX5Uwlb-w
65,ySDz6zQA81F4b-ddR6qELY9jN8GxXHFACwql9e8JAA_JD3ni37k4MSQTWDuUjjajmdRet5syRb7Oiw
66,IBewkJ9SU2BXZ3s9o64_KbufuU3ZUX3jQWpTpsfxV-t3eQ97ueqgJow4UVhyV2L9sW8MuQr87dJIEg
67,80zCMzmO95LP9kvJnEQpEXa6N1bvuGrPC0iw0JlnRngNG-SpH8C9uL2VfjbUZhEN3ARd4zoHbgLKzw
68,4HdRPy8fa1wdCn1vlPx3LovR-MBMuNGDWAps9iwk2aag9qgDvf4iQt55BvGtXKjMYk8mHkfGU16VYw
69,FaaaUWM5lLLeFi4gjIjcT6PgcxSeaemSzsukSCwC0WSgcCbnjjf1SjWMgg1_Mae9EkMNp4IlUEPw8w
70,1KPg7oaIv7nMWESh3BE3pI5DVPugKvoAkg7nDFL0V220qkqsbhqPQrePkQJ-m3jSlSQmmfx9uC25fg
71,9HtQqeByFUp8ZwMLOTt3BXDnL6inqq9udkWZGBcEH6XBnU-58cbMM4r8csvAy8NmQpwxUahim0GXBg
72,RefRKf4ElDS3WN9UuhgUwlnvVeADMtvleeVO_wP7aOjUX3FXGOKW-IHIMX44oDV6uFKm1mbW3J-1Rw
73,FRc4qrMahISy9OeWCdE9JAg2Z7Y2XqzOS7gaLNdVXzxDrNLBO_OL83OBRAW1Uq2Oijx8r3GF45VcLQ
74,eCQ4uVDLtClxydeDvwUq2ga0jJyQzAZu_YOuDBR6_DrFvq3nQ3nrVlGrsOtIsuMslfJwmVPfgfnjlg
75,I71y_J-lQXEMgcNY4eoLH0HwQ5vOZUknjiBqqXqgzhgNfJd6671WUVv_Mpx1g5YYikOsMEydMgCSzw
76,s-349NKCR9qSfGNdGEtW1F449cXGbG_ntB8ArI3llqe6GSHS5X7MrUVMkeQ-iHWaFBLsd3BvlMIrhA
77,7GNub5Y2pFprq96LSSZmjUsXzUrd7WRHv1PHmjWAUkTJxHioy1vrM5MjrfXR_acKSDO6kLdynwjJzQ
78,7ZwpjzRtQW_fqfDm3QWXqsubJxB2f4XCKFDiFtcZdo4MC1ZX08dOxMn_ekaRQ_fxB2pE_5WHXD0Hgw
79,ghvYVvwzRzzA6Fwuc920WdtccUJevDbE3PAuoO3X-jGP0OIdv8becx7TDMzKnmpBZnx51p2kk_YYdQ
80,5Ux_e9NGF9QSBamSprDWl50t-pFPsPpfL4-1-sbd-xePf2yNZVYmeUq87aNgFqysZZkYF3AOI4drkA
81,kDST3OngRhTufeWqA7a-aHWp1WeH-VnzSTWybxSFGIP6jX1WqvkBJ9-RWsX25SXEdPRclp7B0AOiuw
82,Ldd1M-ypd9EUOulhgsefFkFegFWbOlA0MWnwCUdwY0ccnocs7OJafQYWVUOOSuaSoHgYa8EpGNMsrQ
83,Vv4_NJOPb0tppDh1sVY9XDrdKg2nt8MJCyY7OSROxIkwrGD5x6dzw1ss34e86OllLGXGyeXnvS25ow
84,1QcOBdpkvBnSnSaXg1PgSkTJdyhWRblUqusIF7td0OpTNswodC285sS09VePPWctCCfDn31wfLkQGw
85,tk5euLqNxm9BB829l1AFayEFF3nyMh3yFid6O9MYiNwJEPtj0n3TteA7Y5_ty6uoSK7AvX4BF3FKhw
86,zpeZYV8i_X1ggId3UlI68mLXgKf8uuKIRaduHHNpNK0VMn9cyaLNIv1rAjcswmylTX9iCeXO6PTDqw
87,YV_Wxr9VW0-6Hxo9AfC_SVWy4vCbGHZpMgas8Tr-hyrgHckU5csvjAA64SRxA2iktnuXNV959Kb3sA
88,2OdUrgLTpGb3AfFojDxBe8x7xX4r6vXoGOs9b7c42fzzACvL21ig8lAxgkIGGZ-BLGsLcZok2wHjCA
89,S5X4dmsRtnl9zGE9cwUG5B8rpxzl93r12oDHVTPjFaAY42492CXDZd-StnPcMwjZR-XaqE6p89koqw
90,syOlP63O8QyLqG2cFVgBEa6MqWpSGL2mogT-9PMums9QybTdt_vhXFzupFKmmnYnuUkpFBhjo3RjJQ
91,qkuaRXqhnbdT7baUiXbKLzmLePercr6I04QvUYIHrQYGHRXdhpziRmyMrOOh0WAqctQaoYjQW2n5Cw
92,7_V40-skDrmg1LcS8-szSMUk_Yg83yR7wRvkHQuHRW_xH6hhaH9FgBQHTO1mGXuUB4Ty-GDucJCzjQ
93,a8OafKlgy6n0VdfXSSWHKKHNlEXMVmIFs6KaEw-BeQlAEKTAGxJ2skG90lBAw8Arp7uNf7SfVZ3URg
94,LKZBpU1wsUONWpR7wqt5NnIxfnDt8BJLr1B_4fGJasRoMVrPWW0vZsWmaMjnlFXkMWxWhFlDIsha-g
95,UTHluEZSoHsgmqkfVm_RrYPmcWSIJwmlNzcbWGG0VegIjrIom2tWsq7gf6F9AlM8gAaV3zbq4ObqnA
96,NLYceIR2imRjJjH49k_jaxrNpPWM9hcsDiIBV8yR0vBssJGI8oMFoE0dEkA95TcteVL-UlytNryjXA
97,gInFb9mBX8U9fAPi85BuPS_Od3bRZlkeHKNW9hqpVPn5CacSiPSh7-qWoCgSFNVaaDmWGBLFbzND0Q
98,XwDjKg9LW09L4venIqybH9HMxCiANFb2EMKd6pEEdintaH15HVxIyl8jcmcpxuIsBSOp6WkeYejdag
99,58RsJ5JXmCtrUuM62cou7Wu0pSPrAcY5Zix1wNrdbTT2g1mcPRxkQAiVV8TjzhND3JsFj68NvpmESg
